experiment,epoch,batch_size,num_layers,dropout,hidden_size,dropout_ff,weight_decay,lr,embed_dim,activation,datasize,score
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/833329253,0,106,1,0.08175557715573915,362,0.3208946367231481,4.909034066667035e-05,0.00019672051535268652,100,sigmoid,4000000,0.9191404297851075
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/339996539,0,85,1,0.06004142836459832,889,0.4913877862346185,9.365055598245803e-06,4.587151430336705e-05,100,relu,4000000,0.9191404297851075
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/267401912,1,104,2,0.068894257187049,632,0.6305315418434025,3.8653016696010494e-07,1.2353038101821869e-05,100,tanh,4000000,0.9178410794602698
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/434044936,1,141,1,0.03890050325995523,461,0.6273540690916153,0.00030264880463461743,0.0020390915027625085,100,tanh,4000000,0.9177411294352824
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/394600872,1,126,3,0.04445821186667092,512,0.2557064495836739,1.013499162746509e-09,1.4253733567931294e-05,100,tanh,4000000,0.9174412793603198
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/445190482,0,59,4,0.05697167424184542,483,0.6577348375308822,1.3534093284575736e-09,9.372230982583222e-05,300,sigmoid,4000000,0.9170414792603698
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/508770200,1,126,2,0.029609061874865974,292,0.45617400268932135,1.0034987179677962e-07,4.3261790680435227e-05,300,sigmoid,4000000,0.9169415292353823
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/393916472,1,102,3,0.05936130828860264,472,0.33231851038775406,8.248534712581569e-05,0.0005303563759403512,300,relu,4000000,0.9169415292353823
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/433974924,1,91,1,0.05159561181852819,686,0.2888224595918858,7.898764437947826e-05,0.0005410610735541004,300,sigmoid,4000000,0.9159420289855073
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/911660021,0,53,4,0.06347028793034902,451,0.220931888900957,2.2188706711392777e-05,0.0006170341989830298,100,tanh,4000000,0.9159420289855073
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/453631065,0,130,4,0.018742065499920958,606,0.5632199356092871,2.4916708341389154e-07,0.00014587218311117327,100,sigmoid,4000000,0.9157421289355322
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/123604553,1,69,3,0.024961889708302334,627,0.46031087219883365,8.393247330226428e-05,9.248987634882653e-05,300,sigmoid,4000000,0.9155422288855573
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/310236081,0,88,2,0.005261811229288083,305,0.3027795221924522,9.440271949690844e-08,5.4081949073701545e-05,100,sigmoid,4000000,0.9142428785607196
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/508770200,0,126,2,0.029609061874865974,292,0.45617400268932135,1.0034987179677962e-07,4.3261790680435227e-05,300,sigmoid,4000000,0.9139430284857571
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/645572388,0,103,1,0.0761630269732275,360,0.29021996695044416,1.5942301086151003e-07,2.3537665812209008e-05,300,relu,4000000,0.9133433283358321
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/873538426,1,59,1,0.025195684669609343,821,0.3695270413137758,7.967884577479709e-08,7.164778615576381e-06,300,tanh,4000000,0.9128435782108946
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/269643997,0,131,2,0.004154254216388664,485,0.6935171216125461,6.291704036564616e-06,0.0017946288033217953,300,sigmoid,4000000,0.9126436781609195
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/433974924,0,91,1,0.05159561181852819,686,0.2888224595918858,7.898764437947826e-05,0.0005410610735541004,300,sigmoid,4000000,0.9120439780109945
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/276483781,0,23,1,0.026912313673527456,529,0.5738272677280856,5.401263625710048e-05,7.604540081437604e-06,300,sigmoid,500000,0.9118440779610195
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/848392344,1,111,4,0.0019229594086607295,484,0.3840448528518984,3.5125724974475838e-06,8.850452088297782e-06,300,relu,4000000,0.9112443778110945
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/454441642,1,82,2,0.04564725555615445,920,0.5800076841567117,0.00020644557681379967,0.00031508631242127143,300,sigmoid,4000000,0.9108445777111445
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/774059908,1,94,3,0.07423253195666506,523,0.6976121853631849,9.677111562571637e-05,4.248082022537041e-05,300,relu,4000000,0.9107446276861569
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/366969804,0,24,3,0.07222040327455029,971,0.29547749102896037,0.0006457378231534346,4.5576354877656204e-05,300,tanh,500000,0.9105447276361819
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/813054400,1,56,2,0.06977301837603166,404,0.2841626657258126,0.00010687270894422749,4.526431045890492e-05,300,sigmoid,4000000,0.9101449275362319
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/501819205,0,64,3,0.02800920154569536,987,0.2049429639154945,4.606595177818698e-09,6.433045754650523e-06,300,relu,4000000,0.9100449775112444
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/454441642,0,82,2,0.04564725555615445,920,0.5800076841567117,0.00020644557681379967,0.00031508631242127143,300,sigmoid,4000000,0.9095452273863068
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/123604553,0,69,3,0.024961889708302334,627,0.46031087219883365,8.393247330226428e-05,9.248987634882653e-05,300,sigmoid,4000000,0.9090454772613693
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/502924274,1,122,4,0.0799837720824504,216,0.33434423613788156,5.108612029629544e-09,2.029032712939404e-05,100,tanh,4000000,0.9088455772113943
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/434044936,0,141,1,0.03890050325995523,461,0.6273540690916153,0.00030264880463461743,0.0020390915027625085,100,tanh,4000000,0.9088455772113943
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/164216166,1,140,1,0.08704691542445046,342,0.33423480163246844,8.284645645049858e-09,1.660910896988025e-05,100,tanh,4000000,0.9085457271364318
/mnt/nfs/scratch1/ahandler/experiments/qsr/compressor/371328903,1,76,3,0.03601656837987355,130,0.4049769510073893,0.0002477838426352399,0.0023957101505984748,100,relu,4000000,0.9082458770614693
